BT401	JST S2B-PH-SM4-TB(LF)(SN)
C101 - C102	Yageo CC0805JRNPO9BN120
C301, C303, C305, C309, C502, C511	MF-CAP-0603-1uF
C302, C304, C306, C501, C503, C507, C602, C604	MF-CAP-0603-0.1uF
C401 - C406, C601, C603	MF-CAP-1206-10uF
C504, C506, C508	Nichicon UZP1E3R3MCL1GB
C505, C510	MF-CAP-6.3MM-100uF
C509	MF-CAP-4MM-10uF
D201 - D232	MF-LED-3228-RGB
D401, D602	MF-LED-0603-GREEN
D402, D601	MF-LED-0603-RED
D403	MF-LED-0603-GREEN
D404	AVX SD0805S020S1R0
D801 - D810	MF-DIO-SOD123-BAT42
J101	FCI 20021121-00010C4LF
J102 - J103	Samtec SSM-102-L-DV
J104	Samtec SSM-120-L-DV-K-TR
J601	MF-CON-MICROUSB-RIGHT
LS501 - LS502	AST-01708MR-R
Q401	FDN360P
R101 - R103, R301, R303, R406 - R407	MF-RES-0603-10K
R302, R501 - R504	MF-RES-0805-20K
R401 - R402, R405, R601	MF-RES-0603-1K
R403 - R404	MF-RES-0603-2K
R602 - R603	MF-RES-0603-47
R604	CRG0805F22K
R605	ERJ-3EKF4752V
SW108	MF-SW-TACT-4.2MM
SW401	PCM12SMTR
SW801 - SW802	ALPS SKRHAAE010
TP101 - TP106, TP401 - TP402, TP501 - TP503	N/A
U100	BMD-340-A-R
U301	IS31FL3736-QFLS4-TR
U401	MCP73833-AMI/UN
U402	LM1117IMPX-3.3/NOPB
U501	CS4344-CZZR
U502	LM4880MX/NOPB
U602	TPD3E001DRLR
Y101	Epson FC-135 32.7680KA-A5
